logFC,logCPM,F,PValue,FDR,Gene,rank
-0.122057630709004,3.01097845597606,1.43229559344665,0.238435124712409,0.349067134916995,BRSK1,-0.622629766779419
-0.336425404856643,3.12540081553283,1.43248976479,0.238390733812241,0.349067134916995,NR0B2,-0.622710629520818
-0.15293567572538,2.67076258407261,1.43316898723088,0.238141045590682,0.348814138771362,KCNMB4,-0.623165743875958
-0.157252951990203,2.26429558283023,1.42805895277907,0.238118483673202,0.348812434613864,EFNA3,-0.62320689167739
-0.262458417507718,1.94144206745853,1.41973743510778,0.238051076862261,0.348775968314669,LINC02481,-0.62332984958422
-0.184084490693856,3.11599172588225,1.43795599835227,0.237519976755515,0.348114748318872,SLC14A1,-0.624299857913494
-0.0665881691993802,5.89697092861074,1.44011612830624,0.236968773673881,0.347469494051925,CAMTA2,-0.625308878946038
-0.155977856771546,6.7715538113564,1.44058478571521,0.236891914065487,0.347387838590268,NXF1,-0.625449762986277
-0.22827978863399,3.25153234038932,1.44457943735763,0.236441788905904,0.346789744557797,MROH6,-0.626275763461943
-0.294334650097696,2.06545385453585,1.43422525835824,0.236293529175993,0.346603274335749,LIAT1,-0.626548171222638
-0.171003322424323,3.81818907350706,1.44578425974002,0.236141032384088,0.346410555150479,EMCN,-0.626828542401723
-0.245213367826528,2.26408598847653,1.44109538618572,0.235992375265465,0.346254394469798,PGR,-0.627102028528317
-0.351510038810038,3.70922925230632,1.44744696051575,0.235897440435667,0.346146056400324,MAFIP,-0.62727677132592
-0.214773013304843,2.76666477565287,1.44814394026099,0.235816481085619,0.346086028367423,GFRA2,-0.627425845575058
-0.0959456817474071,6.15573617425296,1.44866672206077,0.235604420098366,0.345866033782445,RASSF6,-0.627816566150118
-0.0891304386579814,7.29275156416406,1.4489560819407,0.235556841177479,0.345831840554766,KIF1C,-0.627904278212059
-0.242394209976714,1.73061102758079,1.42904359019863,0.235431743887978,0.345679109952031,TAS2R5,-0.628134980464859
-0.150886547280748,3.92615857631518,1.45174751680677,0.235178638789738,0.345400206342823,ZNF814,-0.628602127651371
-0.162377479462618,3.82676967532166,1.45602031871333,0.234516325390509,0.344550847690497,KLRD1,-0.629826919344514
-0.122143679401254,3.98216204082279,1.4590922501991,0.234011638034176,0.343932547193189,IFI27L1,-0.630762543408925
-0.088379997538281,4.797682189787,1.46039426095725,0.233761968586867,0.343701554586585,TUBGCP4,-0.63122614405688
-0.196094522536277,2.0641251216825,1.45115392288697,0.233605720556776,0.343520582801181,MAK,-0.631516526389168
-0.0828161285542055,5.78792969839768,1.46361570854427,0.233245116095803,0.343113310462609,ZNHIT1,-0.632187441149947
-0.210028426144397,1.99965776836313,1.45426316697147,0.232804192117046,0.342495398929121,LINC02767,-0.633009203588694
-0.0650003260710567,4.17424726165851,1.46855425914279,0.232509050348109,0.342122544893891,PALB2,-0.633560137656844
-0.143177325678066,5.64879856773387,1.47425917546577,0.231583080358807,0.340943488786658,BCL2L14,-0.635293173680476
